product_name,client_name,date,month_num,month_name,week_of_month,quantity,cost_price,sale_price,total_order,profit,payment,debt
Product_21,Client_029,2025-07-20,7,July,3,5,6.23,11.29,56.45,25.3,42.34,14.11
Product_01,Client_190,2025-06-21,6,June,3,4,6.73,9.15,36.6,9.68,36.6,0.0
Product_09,Client_063,2025-01-27,1,January,4,3,23.47,33.74,101.22,30.81,101.22,0.0
Product_08,Client_036,2025-07-20,7,July,3,2,22.43,26.05,52.1,7.24,0.0,52.1
Product_24,Client_027,2025-12-14,12,December,2,3,14.74,20.09,60.27,16.05,60.27,0.0
Product_22,Client_190,2025-03-14,3,March,2,4,8.83,12.59,50.36,15.04,25.18,25.18
Product_29,Client_140,2025-12-02,12,December,1,5,24.08,43.83,219.15,98.75,164.36,54.79
Product_03,Client_152,2025-05-24,5,May,4,4,13.21,16.08,64.32,11.48,48.24,16.08
Product_14,Client_009,2025-12-08,12,December,2,1,15.26,25.07,25.07,9.81,18.8,6.27
Product_01,Client_024,2025-05-10,5,May,2,2,9.45,14.5,29.0,10.1,29.0,0.0
Product_07,Client_060,2025-07-30,7,July,5,6,20.85,34.41,206.46,81.36,154.84,51.62
Product_17,Client_155,2025-07-27,7,July,4,3,18.43,20.56,61.68,6.39,61.68,0.0
Product_01,Client_144,2025-04-30,4,April,5,3,6.81,12.66,37.98,17.55,37.98,0.0
Product_07,Client_184,2025-12-02,12,December,1,3,19.83,24.4,73.2,13.71,18.3,54.9
Product_21,Client_180,2025-10-23,10,October,4,3,6.91,10.61,31.83,11.1,15.92,15.91
Product_18,Client_108,2025-07-06,7,July,1,3,20.48,28.08,84.24,22.8,84.24,0.0
Product_08,Client_115,2025-08-09,8,August,2,2,21.02,26.86,53.72,11.68,40.29,13.43
Product_19,Client_072,2025-05-17,5,May,3,5,23.38,36.53,182.65,65.75,182.65,0.0
Product_26,Client_002,2025-10-06,10,October,1,4,18.91,25.84,103.36,27.72,103.36,0.0
Product_25,Client_041,2025-11-16,11,November,3,4,17.43,22.5,90.0,20.28,67.5,22.5
Product_23,Client_109,2025-03-20,3,March,3,4,13.75,16.04,64.16,9.16,64.16,0.0
Product_11,Client_072,2025-07-31,7,July,5,6,6.97,9.1,54.6,12.78,13.65,40.95
Product_05,Client_056,2025-11-23,11,November,4,7,14.34,18.09,126.63,26.25,126.63,0.0
Product_25,Client_087,2025-03-16,3,March,3,3,14.64,22.28,66.84,22.92,66.84,0.0
Product_04,Client_024,2025-09-04,9,September,1,4,14.6,25.44,101.76,43.36,101.76,0.0
Product_13,Client_025,2025-12-27,12,December,4,3,13.89,19.96,59.88,18.21,59.88,0.0
Product_12,Client_089,2025-02-21,2,February,3,4,10.89,13.28,53.12,9.56,53.12,0.0
Product_20,Client_068,2025-01-12,1,January,2,5,7.71,12.0,60.0,21.45,0.0,60.0
Product_26,Client_012,2025-01-20,1,January,3,4,16.68,25.85,103.4,36.68,103.4,0.0
Product_24,Client_118,2025-08-14,8,August,2,4,14.07,25.01,100.04,43.76,100.04,0.0
Product_18,Client_032,2025-11-22,11,November,4,7,22.01,37.09,259.63,105.56,194.72,64.91
Product_30,Client_097,2025-12-19,12,December,3,3,6.31,7.23,21.69,2.76,21.69,0.0
Product_03,Client_142,2025-06-26,6,June,4,3,11.21,16.44,49.32,15.69,24.66,24.66
Product_10,Client_161,2025-12-12,12,December,2,5,6.8,7.61,38.05,4.05,0.0,38.05
Product_20,Client_093,2025-10-30,10,October,5,1,5.6,8.69,8.69,3.09,8.69,0.0
Product_19,Client_050,2025-10-21,10,October,3,2,24.75,28.4,56.8,7.3,56.8,0.0
